"startDate","endDate","afam","racial","aa","black","negro","rd","cr","seg"
"19740101","19740401",27,332,165,2228,80,57,412,68
"19740401","19740701",66,407,160,2408,79,73,470,74
"19740701","19741001",48,369,187,2150,73,46,458,75
"19741001","19750101",86,452,294,2312,62,50,384,69
"19750101","19750401",79,356,184,2126,78,66,463,55
"19750401","19750701",62,325,180,2113,67,75,366,73
"19750701","19751001",60,378,206,2039,49,72,355,61
"19751001","19760101",53,439,270,2076,42,134,479,62
"19760101","19760401",63,354,253,2030,48,73,437,39
"19760401","19760701",73,501,280,2370,74,145,551,126
"19760701","19761001",60,490,386,2475,60,87,428,53
"19761001","19770101",66,466,287,2560,72,102,480,64
"19770101","19770401",80,347,273,2375,45,95,536,87
"19770401","19770701",73,382,334,2334,59,87,499,65
"19770701","19771001",108,411,269,2428,53,106,529,66
"19771001","19780101",128,462,292,2496,45,105,479,67
"19780101","19780401",66,377,317,2301,54,80,542,52
"19780401","19780701",106,372,366,2335,51,95,550,70
"19780701","19781001",65,184,111,966,13,48,237,22
"19781001","19790101",41,210,174,1329,32,40,258,21
"19790101","19790401",73,281,235,2067,57,55,371,48
"19790401","19790701",79,274,257,2101,41,73,383,67
"19790701","19791001",70,365,260,2176,40,93,460,61
"19791001","19800101",75,292,251,2234,65,64,440,58
"19800101","19800401",63,230,235,1994,74,47,378,29
"19800401","19800701",58,378,270,2580,57,73,548,28
"19800701","19801001",176,562,354,3743,70,141,801,40
"19801001","19810101",137,629,379,4007,103,102,854,81
"19810101","19810401",55,279,194,1673,35,70,332,65
"19810401","19810701",63,295,228,1762,42,91,291,42
"19810701","19811001",84,357,232,1838,40,126,411,62
"19811001","19820101",75,386,205,2100,51,121,460,41
"19820101","19820401",54,282,133,1699,33,139,433,55
"19820401","19820701",40,282,144,1687,50,74,355,45
"19820701","19821001",41,263,135,1517,24,84,337,42
"19821001","19830101",48,256,162,1702,27,76,322,37
"19830101","19830401",47,292,163,1670,30,80,362,40
"19830401","19830701",79,321,126,1781,40,90,462,48
"19830701","19831001",59,297,157,1648,22,90,447,50
